what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275761625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275767515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275772531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275776343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275787828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275793750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275801031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275802984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275810953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275815203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275819281
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257275822671
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1257275824390
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1257275824437
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1257275824437
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1257275824718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275840781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275863421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275868281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275879812
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1257275879812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257275887375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131045764140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131045774578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1131045782140
