what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200805152355,org.eclipse.datatools.sqltools.debugger.core,1243602476875
started,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200805261703,org.eclipse.datatools.sqltools.routineeditor,1243602476890
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200806021003,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1243602477062
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200805152355,org.eclipse.datatools.sqltools.common.ui,1243602477109
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200806021003,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1243602477156
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602480359
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602480359
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602480406
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602506312
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1243602507406
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1243602508625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602510484
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200806021003,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1243602511093
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243602511109
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1243602511125
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1243602521296
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243602522953
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1243602527734
started,bundle,org.jboss.tools.common.text.ext,3.0.1.GA-R200905070146-H18,org.jboss.tools.common.text.ext,1243602531078
started,bundle,org.jboss.tools.hibernate.xml.ui,3.0.1.GA-R200905070146-H18,org.jboss.tools.hibernate.xml.ui,1243602531078
started,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1243602531656
started,bundle,org.jboss.tools.common.text.xml,3.0.1.GA-R200905070146-H18,org.jboss.tools.common.text.xml,1243602531765
started,bundle,org.hibernate.eclipse.mapper,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.mapper,1243602533328
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.0.1.GA-R200905070146-H18,org.jboss.ide.eclipse.as.ui.mbeans,1243602533468
started,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1243602533890
